# metadata = 1695923608885.json
# taxonomy hierarchy = ["CCN20230722_CLAS", "CCN20230722_SUBC", "CCN20230722_CLUS"]
# readable taxonomy hierarchy = ["class", "subclass", "cluster"]
cell_id,class_label,class_name,class_bootstrapping_probability,subclass_label,subclass_name,subclass_bootstrapping_probability,cluster_label,cluster_name,cluster_alias,cluster_bootstrapping_probability
20180108_sample_4,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_022,022 L5 ET CTX Glut,1.0000,CS20230722_CLUS_0356,0356 L5 ET CTX Glut_1,403,1.0000
20180108_sample_5,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_022,022 L5 ET CTX Glut,1.0000,CS20230722_CLUS_0355,0355 L5 ET CTX Glut_1,402,1.0000
20180108_sample_7,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_005,005 L5 IT CTX Glut,0.9800,CS20230722_CLUS_0061,0061 L5 IT CTX Glut_3,192,0.8300
20180108_sample_8,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_022,022 L5 ET CTX Glut,1.0000,CS20230722_CLUS_0363,0363 L5 ET CTX Glut_2,391,0.6700
20180108_sample_9,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_005,005 L5 IT CTX Glut,1.0000,CS20230722_CLUS_0061,0061 L5 IT CTX Glut_3,192,1.0000
20180108_sample_10,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_022,022 L5 ET CTX Glut,1.0000,CS20230722_CLUS_0369,0369 L5 ET CTX Glut_3,406,1.0000
20180109_sample_1,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_005,005 L5 IT CTX Glut,1.0000,CS20230722_CLUS_0061,0061 L5 IT CTX Glut_3,192,1.0000
20180109_sample_2,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_005,005 L5 IT CTX Glut,1.0000,CS20230722_CLUS_0061,0061 L5 IT CTX Glut_3,192,0.9800
20180109_sample_5,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_005,005 L5 IT CTX Glut,1.0000,CS20230722_CLUS_0061,0061 L5 IT CTX Glut_3,192,1.0000
20180110_sample_1,CS20230722_CLAS_01,01 IT-ET Glut,1.0000,CS20230722_SUBC_005,005 L5 IT CTX Glut,1.0000,CS20230722_CLUS_0061,0061 L5 IT CTX Glut_3,192,1.0000
